City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Upernavik,83,GL,1618627773,99,72.7868,-56.1549,-10.89,7.49
Bathsheba,40,BB,1618628000,61,13.2167,-59.5167,80.6,17.27
Iralaya,11,HN,1618628000,79,15.0,-83.2333,79.18,10.78
Mareeba,75,AU,1618628001,58,-17.0,145.4333,88.0,17.27
Tuatapere,94,NZ,1618628001,61,-46.1333,167.6833,55.0,8.01
Longyearbyen,20,SJ,1618628001,62,78.2186,15.6401,14.0,11.5
Itarema,90,BR,1618628002,89,-2.9248,-39.9167,77.22,9.78
Hermanus,0,ZA,1618628002,81,-34.4187,19.2345,57.0,3.0
Tuktoyaktuk,90,CA,1618627866,86,69.4541,-133.0374,19.4,3.44
Punta Arenas,0,CL,1618627717,71,-53.15,-70.9167,48.2,19.57
Rio Tinto,0,PT,1618628003,82,41.1826,-8.5581,57.0,6.91
Arrondissement de Saint-Denis,0,FR,1618628003,81,48.9167,2.3333,43.0,10.36
Chokurdakh,7,RU,1618627876,86,70.6333,147.9167,11.89,9.57
Mahébourg,40,MU,1618628004,88,-20.4081,57.7,77.0,4.61
Bariloche,40,AR,1618628004,53,-41.1456,-71.3082,54.0,4.61
Caravelas,10,BR,1618628005,86,-17.7125,-39.2481,72.84,4.36
Labé,62,GN,1618628005,72,11.3182,-12.2833,69.44,6.11
Faanui,40,PF,1618628006,71,-16.4833,-151.75,82.36,5.57
Harper,57,LR,1618627847,82,4.375,-7.7169,79.47,6.33
Flinders,100,AU,1618628006,67,-34.5833,150.8552,66.99,1.01
Guerrero Negro,0,MX,1618628007,74,27.9769,-114.0611,59.0,18.86
Griffith,1,US,1618628007,87,41.5284,-87.4237,39.99,6.96
Arraial do Cabo,14,BR,1618628008,77,-22.9661,-42.0278,74.48,17.2
San Cristobal,40,VE,1618627759,61,7.7669,-72.225,84.2,6.91
Ponta do Sol,9,PT,1618628008,67,32.6667,-17.1,57.99,5.01
Hasaki,75,JP,1618628009,67,35.7333,140.8333,64.0,17.27
Beba,20,CU,1618628009,69,22.4437,-79.7253,75.2,6.91
Lebu,68,CL,1618627752,87,-37.6167,-73.65,53.13,9.6
Saint-Philippe,0,RE,1618628010,83,-21.3585,55.7679,77.0,3.44
Nova Olímpia,18,BR,1618628010,85,-14.7972,-57.2881,74.39,2.37
Trairi,96,BR,1618628011,86,-3.2778,-39.2689,77.54,7.18
Tasiilaq,75,GL,1618628011,100,65.6145,-37.6368,26.6,33.38
Salalah,0,OM,1618628011,73,17.0151,54.0924,77.0,5.75
Winder,1,US,1618628012,54,33.9926,-83.7202,57.99,3.44
Chengzhong,100,CN,1618628012,37,30.95,113.55,69.8,13.42
Chase,0,CA,1618628013,39,50.8165,-119.6857,62.6,2.3
Bluff,96,NZ,1618627811,61,-46.6,168.3333,55.0,8.01
Zyryanka,8,RU,1618628013,74,65.75,150.85,24.42,18.45
Zhigalovo,77,RU,1618628014,57,54.8097,105.1578,48.97,6.69
Wilmington,1,US,1618627841,58,34.2257,-77.9447,62.01,6.91
Talnakh,100,RU,1618628015,93,69.4865,88.3972,-8.84,3.74
Chivay,28,PE,1618628015,52,-15.6383,-71.6011,46.27,4.07
Westport,98,US,1618628015,9,41.1415,-73.3579,44.01,11.95
Tura,3,IN,1618628016,38,25.5198,90.2201,86.81,4.09
East London,1,ZA,1618628016,66,-33.0153,27.9116,59.11,12.64
Lavrentiya,100,RU,1618628017,88,65.5833,-171.0,33.3,9.46
Catherinas Lust,10,GY,1618628017,79,6.4,-57.6,78.24,10.18
Russell,75,US,1618627999,88,32.3502,-85.1999,60.8,1.95
Anori,100,BR,1618628018,99,-3.7728,-61.6442,74.03,3.33
Hambantota,75,LK,1618628018,100,6.1241,81.1185,78.8,3.44
Hobart,75,AU,1618627726,51,-42.8794,147.3294,62.6,14.97
Leningradskiy,83,RU,1618627805,79,69.3833,178.4167,33.8,3.51
Hirara,75,JP,1618627813,83,24.8,125.2833,77.0,11.5
Kotovo,46,RU,1618628019,75,50.3211,44.8012,51.69,2.75
Kidal,63,ML,1618628019,7,18.4411,1.4078,85.64,6.96
Yerbogachën,100,RU,1618628020,66,61.2767,108.0108,12.56,16.06
Nanortalik,0,GL,1618627810,57,60.1432,-45.2371,21.16,49.19
Ust-Nera,100,RU,1618628020,72,64.5667,143.2,22.28,6.51
Pagudpud,75,PH,1618628021,62,18.5616,120.7868,87.8,5.75
Yaan,100,NG,1618628021,76,7.3833,8.5667,78.03,8.37
Kenai,1,US,1618628022,49,60.5544,-151.2583,51.8,12.66
La Ronge,76,CA,1618628022,39,55.1001,-105.2842,46.4,2.3
Farafangana,96,MG,1618628023,77,-22.8167,47.8333,68.02,14.47
Atambua,19,ID,1618628023,60,-9.1061,124.8925,82.67,1.81
Rosetta,0,EG,1618628023,67,31.4044,30.4164,60.8,4.61
Sitka,75,US,1618627796,76,57.0531,-135.33,48.2,1.01
Carnarvon,1,AU,1618627879,39,-24.8667,113.6333,82.92,6.42
Kariba,63,ZW,1618628024,57,-16.5167,28.8,62.91,3.71
Banjarmasin,20,ID,1618628025,66,-3.3244,114.591,86.0,3.44
Bayan,98,CN,1618628025,54,46.0833,127.4,47.39,1.88
Forsytheganj,65,BY,1618628025,97,52.6333,29.7333,40.39,5.95
Fairbanks,1,US,1618628026,49,64.8378,-147.7164,46.4,5.75
Kirovskiy,2,RU,1618628026,30,45.0917,133.5136,54.97,11.01
Kavieng,95,PG,1618628027,73,-2.5744,150.7967,81.52,4.27
Umeå,17,SE,1618628027,93,63.8284,20.2597,30.2,4.61
Ascension,90,US,1618628027,94,30.2169,-90.9001,66.2,8.3
Sena Madureira,89,BR,1618627935,98,-9.0656,-68.6569,72.52,1.95
Nālūt,100,LY,1618628028,36,30.3333,10.85,69.62,5.17
Contai,4,IN,1618628028,57,21.7786,87.7536,87.49,16.75
Varkaus,0,FI,1618628029,86,62.3153,27.873,30.99,1.14
Barra de Tecoanapa,18,MX,1618628029,71,16.5167,-98.75,78.26,7.34
Walvis Bay,64,NA,1618628030,28,-22.9575,14.5053,80.6,4.61
Saint-François,0,FR,1618628030,86,46.4154,3.9054,30.0,1.14
Mogadishu,99,SO,1618628030,71,2.0371,45.3438,82.76,8.21
Geraldton,100,AU,1618627751,22,-28.7667,114.6,80.6,18.41
Coyhaique,100,CL,1618628031,96,-45.5752,-72.0662,44.96,4.45
Hithadhoo,57,MV,1618628031,62,-0.6,73.0833,81.72,3.56
Rome,90,US,1618628024,81,43.2128,-75.4557,42.8,4.61
Allonnes,0,FR,1618628032,70,47.9674,0.1581,44.6,6.91
Nosy Varika,99,MG,1618628032,88,-20.5833,48.5333,73.31,8.61
Puerto Escondido,40,MX,1618627996,78,15.85,-97.0667,80.6,8.05
Chowchilla,1,US,1618628033,28,37.123,-120.2602,75.2,5.75
Port Alfred,1,ZA,1618627933,65,-33.5906,26.891,60.78,18.66
Avarua,75,CK,1618627804,69,-21.2078,-159.775,82.4,3.44
Nāyudupet,20,IN,1618628034,74,13.9,79.9,84.2,8.05
Lagoa,98,PT,1618628034,95,39.05,-27.9833,61.83,12.08
Jiexiu,0,CN,1618628035,13,37.0244,111.9125,52.84,4.54
Rawson,2,AR,1618628035,49,-43.3002,-65.1023,61.09,2.77
Mount Isa,20,AU,1618628036,21,-20.7333,139.5,82.4,19.57
Sept-Îles,1,CA,1618627785,86,50.2001,-66.3821,30.0,6.91
Tiksi,100,RU,1618627809,95,71.6872,128.8694,6.75,11.68
Jalu,0,LY,1618628037,14,29.0331,21.5482,81.23,13.87
Polunochnoye,100,RU,1618628037,69,60.8697,60.4153,36.45,9.95
Mount Gambier,90,AU,1618628038,63,-37.8333,140.7667,62.6,11.5
Jumla,99,NP,1618628038,30,29.2747,82.1838,60.44,3.89
Namtsy,75,RU,1618628039,86,62.7161,129.6658,33.8,4.47
Seydi,100,TM,1618628039,22,39.4816,62.9137,68.56,6.71
Loma Bonita,100,PA,1618628039,77,8.3833,-80.1667,75.0,6.93
Esperance,55,AU,1618628040,56,-33.8667,121.9,68.0,8.05
Mandera,11,KE,1618627805,74,3.9366,41.867,79.25,10.98
Morayfield,75,AU,1618628040,83,-27.1167,152.95,75.99,6.91
Sibolga,100,ID,1618628041,89,1.7427,98.7792,76.21,3.58
Riyadh,0,SA,1618627978,12,24.6877,46.7219,75.2,4.61
Marawi,100,PH,1618628041,84,7.9986,124.2928,82.99,5.01
Nikolskoye,0,RU,1618628042,45,59.7035,30.7861,41.0,6.71
Waddān,83,LY,1618628042,11,29.1614,16.139,82.38,2.91
Severo-Kuril'sk,81,RU,1618628042,60,50.6789,156.125,36.21,8.81
Ahipara,2,NZ,1618628043,57,-35.1667,173.1667,64.92,15.46
Itoman,75,JP,1618628043,94,26.1247,127.6694,75.0,13.8
Kloulklubed,90,PW,1618628044,83,7.0419,134.2556,82.4,14.97
Nortelândia,25,BR,1618628044,84,-14.4547,-56.8028,74.1,2.62
Ribeira Grande,91,PT,1618627868,95,38.5167,-28.7,63.09,18.9
Norman Wells,75,CA,1618627946,49,65.282,-126.8329,46.4,8.05
Alyangula,75,AU,1618628045,66,-13.8483,136.4192,86.0,11.5
Paamiut,65,GL,1618628046,65,61.994,-49.6678,9.43,12.68
Sechura,98,PE,1618628046,70,-5.5569,-80.8222,72.28,11.21
Santa Ana,20,US,1618627834,63,33.7456,-117.8678,64.4,5.75
Ilulissat,90,GL,1618628046,78,69.2167,-51.1,5.0,11.5
Santa Isabel Rio Negro,100,BR,1618628047,98,-0.4139,-65.0192,73.78,1.48
Saucillo,100,MX,1618628047,12,28.0167,-105.2833,77.94,12.33
Hailar,2,CN,1618628048,79,49.2,119.7,33.66,10.18
Acapulco de Juárez,75,MX,1618627946,74,16.8634,-99.8901,80.6,11.5
Linjiang,45,CN,1618628049,23,41.8069,126.9078,50.65,11.05
Oktyabr'skiy,7,RU,1618628049,83,54.4815,53.471,43.72,7.34
Amapá,100,BR,1618628049,99,1.0,-52.0,69.58,1.86
Chapais,90,CA,1618628050,60,49.7834,-74.8492,41.0,4.61
Caucaia,40,BR,1618628050,83,-3.7361,-38.6531,80.6,8.05
Pahrump,95,US,1618628050,16,36.2083,-115.9839,70.0,5.01
Iwanai,100,JP,1618628051,91,42.9744,140.5089,49.98,7.67
Peniche,82,PT,1618627778,91,39.3558,-9.3811,54.0,4.94
Columbia,1,US,1618627995,58,34.0007,-81.0348,59.0,5.12
Havre-St-Pierre,1,CA,1618628052,86,50.2334,-63.5986,28.4,8.05
Ordzhonīkīdze,33,KZ,1618628052,86,52.4411,61.7408,44.6,9.37
Hilo,90,US,1618627757,61,19.7297,-155.09,77.0,5.75
Kinshasa,40,CD,1618628053,94,-4.3246,15.3215,75.2,2.3
Matagami,90,CA,1618628053,87,49.7502,-77.6328,35.6,11.5
Rincon,40,US,1618628053,77,32.296,-81.2354,57.2,3.44
Sur,71,OM,1618627983,42,22.5667,59.5289,85.78,4.09
Três Barras,100,BR,1618627872,97,-26.1064,-50.3222,59.83,2.37
Tsabong,54,BW,1618628054,32,-26.0217,22.401,69.35,8.21
Conde,20,BR,1618627981,100,-7.2597,-34.9075,75.2,3.44
Mozarlândia,19,BR,1618628055,84,-14.7447,-50.5706,72.12,3.38
Tairua,1,NZ,1618628055,72,-37.0167,175.85,63.0,13.0
Coquimbo,90,CL,1618628056,88,-29.9533,-71.3436,59.0,8.05
Rye,90,US,1618628056,81,40.9807,-73.6837,44.01,9.22
Bengkulu,93,ID,1618628056,72,-3.8004,102.2655,81.97,1.57
Flin Flon,25,CA,1618628057,93,54.7682,-101.865,30.02,2.01
Kahului,40,US,1618627767,61,20.8947,-156.47,78.8,9.22
Barrow,90,US,1618627794,74,71.2906,-156.7887,26.6,11.5
Mudanjiang,55,CN,1618628058,24,44.5833,129.6,51.53,7.72
Saskylakh,100,RU,1618628058,92,71.9167,114.0833,4.62,15.21
Talaya,7,RU,1618627861,60,61.3833,152.75,25.25,11.54
Constitución,100,CL,1618628059,84,-35.3333,-72.4167,55.51,6.67
Carauari,83,BR,1618628059,99,-4.8828,-66.8958,71.98,2.24
Ballina,90,AU,1618628060,88,-28.8667,153.5667,68.0,9.22
Mitsamiouli,81,KM,1618628060,78,-11.3847,43.2844,80.56,8.5
Kruisfontein,1,ZA,1618627778,68,-34.0033,24.7314,50.09,6.71
Kamenka,81,RU,1618628061,58,51.3223,42.7678,52.0,5.66
Lishu,99,CN,1618628050,58,43.3047,124.3278,44.51,9.46
Lompoc,2,US,1618628061,76,34.6391,-120.4579,53.6,11.5
Kudat,40,MY,1618628062,74,6.8837,116.8477,86.0,10.36
Odesa,10,UA,1618628062,100,46.4775,30.7326,37.0,4.76
Isangel,75,VU,1618628063,74,-19.55,169.2667,84.2,11.5
Ustka,87,PL,1618628063,90,54.5805,16.8619,40.35,8.9
Grindavik,75,IS,1618628063,87,63.8424,-22.4338,37.4,26.46
Port Hedland,0,AU,1618628064,26,-20.3167,118.5667,93.2,20.71
Atar,0,MR,1618627775,29,20.5169,-13.0499,71.62,9.69
Bonthe,79,SL,1618628065,86,7.5264,-12.505,78.58,6.62
Whitehorse,40,CA,1618628065,46,60.7161,-135.0538,51.8,5.75
Gornyy,95,RU,1618628066,71,55.1153,83.9059,32.0,3.0
Rocha,0,UY,1618628066,94,-34.4833,-54.3333,60.73,2.17
Tabuk,98,PH,1618627994,54,17.4189,121.4443,87.85,5.12
Palafrugell,90,ES,1618628067,70,41.9174,3.1631,46.0,5.75
Mirny,100,RU,1618628067,74,62.5353,113.9611,15.69,16.93
Maceió,75,BR,1618628068,100,-9.6658,-35.7353,73.4,4.61
Aksay,40,RU,1618628068,93,47.26,39.87,51.01,6.71
Chake Chake,97,TZ,1618628068,90,-5.2459,39.7666,75.87,7.72
Gizo Government Station,52,SB,1618628069,69,-8.103,156.8419,84.45,5.12
Mar del Plata,16,AR,1618627950,100,-38.0023,-57.5575,64.0,3.44
São José da Coroa Grande,67,BR,1618628069,86,-8.8978,-35.1478,76.55,5.93
Taoudenni,90,ML,1618628070,18,22.6783,-3.9836,77.31,10.29
Nānākuli,90,US,1618628070,57,21.3906,-158.1547,78.8,8.05
Ambon City,40,ID,1618628071,66,-3.6954,128.1814,87.8,8.05
Bilibino,100,RU,1618628071,71,68.0546,166.4372,23.88,7.56
Karpathos,100,GR,1618628071,72,35.507,27.2132,64.4,21.85
Khatanga,100,RU,1618627834,89,71.9667,102.5,11.55,10.0
Jaranwala,16,PK,1618628072,47,31.3333,73.4333,74.75,8.34
Puerto Ayacucho,78,VE,1618628072,86,5.6639,-67.6236,76.19,4.03
Orleans,90,US,1618628073,82,30.0335,-89.9501,66.99,9.22
Gilbués,87,BR,1618628073,55,-9.8317,-45.3439,74.98,2.59
Englewood,90,US,1618627970,80,39.6478,-104.9878,33.01,5.75
Bacolod City,100,PH,1618628074,63,10.6667,122.95,86.52,11.65
Harlingen,1,US,1618628074,89,26.1906,-97.6961,79.0,12.66
Padang,75,ID,1618627789,83,-0.9492,100.3543,78.8,3.44
Ullapool,90,GB,1618628075,71,57.8987,-5.1604,43.0,1.01
Calera,90,US,1618628075,67,33.1029,-86.7536,61.0,2.15
Brae,100,GB,1618627793,88,60.3964,-1.353,42.66,11.43
Pochutla,0,MX,1618628076,53,15.7432,-96.4661,80.01,1.01
Boldumsaz,0,TM,1618628076,31,42.1282,59.671,59.0,4.61
Manakara,97,MG,1618628077,81,-22.1333,48.0167,69.21,11.34
Deputatsky,93,RU,1618628077,86,69.3,139.9,9.01,4.94
Cidreira,100,BR,1618628060,81,-30.1811,-50.2056,69.51,5.97
Praia da Vitória,75,PT,1618628078,88,38.7333,-27.0667,63.0,17.78
Port Hardy,1,CA,1618628078,42,50.6996,-127.4199,64.4,8.05
Jamestown,90,US,1618627809,93,42.097,-79.2353,37.99,12.66
Liku,52,ID,1618628079,56,-0.7275,119.8922,88.34,3.47
Cayenne,75,GF,1618628079,78,4.9333,-52.3333,81.0,5.75
Klaksvík,75,FO,1618627765,100,62.2266,-6.589,46.4,9.22
Sydney,75,AU,1618628080,52,-33.8679,151.2073,66.2,3.44
Torbay,90,CA,1618627879,93,47.6666,-52.7314,33.01,12.66
Uyuni,0,BO,1618628080,24,-20.4597,-66.825,45.54,8.25
Shimoda,75,JP,1618628081,72,34.6667,138.95,63.0,13.8
São João da Barra,27,BR,1618628001,82,-21.6403,-41.0511,72.0,6.85
Parrita,100,CR,1618627799,100,9.5201,-84.3225,68.0,3.44
Bowen,90,AU,1618628082,69,-20.0167,148.2333,80.6,11.5
Paragominas,100,BR,1618628082,98,-2.9667,-47.4833,72.48,3.11
Iqaluit,75,CA,1618628083,73,63.7506,-68.5145,14.0,9.22
Châteauroux,90,FR,1618628083,70,46.8167,1.7,41.0,8.05
Uruaçu,42,BR,1618628083,71,-14.5247,-49.1408,72.03,2.91
Clyde River,90,CA,1618627882,79,70.4692,-68.5914,10.4,17.27
Sistranda,0,NO,1618628084,87,63.7256,8.834,35.6,5.75
Anadyr,0,RU,1618627822,80,64.75,177.4833,35.6,24.61
Dauphin,1,CA,1618628085,38,51.1494,-100.0502,41.0,5.75
Jämsä,0,FI,1618628085,86,61.8642,25.19,26.6,5.75
Loikaw,100,MM,1618628086,91,19.6742,97.2094,67.14,2.08
Elk City,1,US,1618627860,75,35.412,-99.4043,44.6,11.5
Belmonte,0,BR,1618627931,83,-15.8631,-38.8828,73.4,4.61
Brufut,2,GM,1618628087,83,13.3814,-16.7518,69.8,10.36
Coos Bay,1,US,1618627838,82,43.3665,-124.2179,61.0,5.75
San Jerónimo,19,PE,1618628087,84,-11.9472,-75.2829,46.69,2.35
Krasnorechenskiy,39,RU,1618628088,38,44.6265,135.3532,51.85,5.39
Senanga,26,ZM,1618628088,56,-16.1167,23.2667,60.26,6.76
Katsuura,100,JP,1618628088,62,35.1333,140.3,64.99,17.63
Nebaj,40,GT,1618628089,100,15.4058,-91.1461,59.0,3.49
Ürümqi,0,CN,1618627900,12,43.801,87.6005,68.0,4.47
Zuwārah,100,LY,1618628090,82,32.9312,12.082,61.7,10.54
Sioux Lookout,75,CA,1618628090,48,50.1001,-91.917,37.4,4.61
Bjørnevatn,90,NO,1618628090,75,69.6672,29.9847,39.2,20.71
Safi,54,MA,1618628091,89,32.2994,-9.2372,60.3,9.4
Ayan,16,RU,1618628091,85,56.45,138.1667,30.96,7.02
Minot,1,US,1618628092,75,48.2325,-101.2963,39.2,5.75
Tomatlán,0,MX,1618628092,71,19.9333,-105.25,68.22,0.89
Aripuanã,100,BR,1618628092,97,-9.1667,-60.6333,72.95,1.48
Valledupar,100,CO,1618627938,83,10.4631,-73.2532,77.61,1.81
Oistins,40,BB,1618627799,61,13.0667,-59.5333,80.6,17.27
Havøysund,90,NO,1618628093,75,70.9963,24.6622,41.0,24.16
Derzhavīnsk,71,KZ,1618628093,89,51.1,66.3167,45.95,11.83
Namatanai,97,PG,1618628094,73,-3.6667,152.4333,82.54,5.61
Bilma,2,NE,1618628094,8,18.6853,12.9164,81.93,8.3
Campo Maior,100,BR,1618628095,93,-4.8278,-42.1686,73.8,3.56
Hong Kong,100,HK,1618627928,92,22.2855,114.1577,75.0,1.01
Jinka,72,ET,1618627932,79,5.65,36.65,62.73,2.84
Moose Factory,1,CA,1618628096,86,51.2585,-80.6094,30.2,3.44
Marang,20,MY,1618628096,74,5.2056,103.2059,86.0,3.44
Kaitangata,64,NZ,1618627929,42,-46.2817,169.8464,59.0,15.99
Boguchany,7,RU,1618628097,58,58.3814,97.4531,20.05,10.27
Kuchera,4,IN,1618628097,33,26.9839,73.9719,80.29,2.84
Urusha,41,RU,1618628098,48,54.05,122.9,43.0,8.97
Esim,79,GH,1618628098,85,4.8699,-2.2405,78.55,3.69
Abhar,100,IR,1618628099,43,36.1468,49.218,51.46,3.71
Aykhal,100,RU,1618628099,90,66.0,111.5,8.78,21.36
Hervey Bay,40,AU,1618628099,57,-25.2986,152.8535,78.8,11.5
Olafsvik,75,IS,1618628100,75,64.8945,-23.7142,37.54,27.22
Yabrūd,0,SY,1618628100,44,33.9674,36.6574,57.2,10.36
Matara,87,LK,1618628101,77,5.9485,80.5353,81.7,4.25
Mossamedes,11,AO,1618627804,65,-15.1961,12.1522,80.85,6.96
Parabel',2,RU,1618628101,52,58.6978,81.4825,22.8,5.97
Vila Franca do Campo,75,PT,1618627839,100,37.7167,-25.4333,60.8,9.22
Belle Fourche,90,US,1618628102,100,44.6714,-103.8522,32.0,3.44
Statesboro,1,US,1618628102,93,32.4488,-81.7832,53.6,1.63
Cockeysville,45,US,1618627890,55,39.4812,-76.6439,51.01,1.01
Erenhot,0,CN,1618628103,17,43.6475,111.9767,44.26,11.54
Pooler,40,US,1618627875,77,32.1155,-81.2471,57.2,3.44
Rūdbār,45,AF,1618628104,14,30.15,62.6,73.49,5.21
Coahuayana Viejo,0,MX,1618628104,78,18.7333,-103.6833,70.54,1.57
Charters Towers,2,AU,1618628105,30,-20.1,146.2667,85.44,9.15
Muskogee,90,US,1618628105,87,35.5834,-95.3336,51.8,4.63
Carahue,66,CL,1618628106,100,-38.7,-73.1667,46.4,1.14
Rawlins,90,US,1618628106,69,41.7911,-107.2387,28.99,8.05
Goderich,100,CA,1618628106,87,43.7501,-81.7165,39.2,5.75
Paciran,43,ID,1618628107,67,-6.8767,112.3761,84.79,4.9
Yining,100,CN,1618628107,65,29.0361,114.5636,70.39,4.43
Zhanakorgan,49,KZ,1618628108,31,43.9098,67.2495,65.52,5.01
Haimen,90,CN,1618628108,78,23.1935,116.6142,71.6,6.71
São Félix do Xingu,100,BR,1618628109,97,-6.6447,-51.995,71.4,1.86
Honningsvåg,100,NO,1618627844,84,70.9821,25.9704,39.67,34.31
Shenjiamen,99,CN,1618628109,79,29.9576,122.298,61.68,16.89
Kuching,40,MY,1618628110,89,1.55,110.3333,80.6,4.61
Kutum,62,SD,1618627857,10,14.2,24.6667,67.73,8.66
Carutapera,100,BR,1618628110,93,-1.195,-46.02,75.74,5.95
Valle de Allende,100,MX,1618628111,12,26.9333,-105.4,71.15,14.32
Bambous Virieux,40,MU,1618627943,88,-20.3428,57.7575,80.01,4.61
Jaciara,0,BR,1618627875,87,-15.9653,-54.9683,70.72,2.21
Te Anau,55,NZ,1618628111,50,-45.4167,167.7167,54.25,5.5
Madawaska,100,US,1618628112,64,47.3561,-68.3288,35.6,5.75
Mayo,5,US,1618628112,60,38.8876,-76.5119,52.0,7.0
Cabo San Lucas,40,MX,1618627884,60,22.8909,-109.9124,71.6,3.44
Wajid,41,SO,1618628113,84,3.8093,43.2471,75.49,13.02
La Libertad,92,EC,1618628113,84,-2.2333,-80.9,74.68,3.18
Pemangkat,100,ID,1618628114,69,1.1667,108.9667,84.13,2.04
La Asuncion,86,VE,1618628092,80,11.0333,-63.8628,77.9,20.04
